Reference,Qty,Value,DNP,Footprint,Datasheet,Manufacturer_Part_Number,Mouser Part Number,Description,#,Type
"C1,C4,C5,C12",4,10uF,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,https://www.mouser.kr/ProductDetail/YAGEO/CC0805MKX7R7BB106?qs=WS5Jv%252B%252Bx1qV0JXGhy8Ef5g%3D%3D,,,Unpolarized capacitor,1,Tape
"C2,C3",2,100pF,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,https://www.mouser.kr/ProductDetail/YAGEO/CC0805JRNPO9BN101?qs=AgBp2OyFlx%252BIBvbseB%252BJ9Q%3D%3D,,,Unpolarized capacitor,2,Tape
"C6,C7,C17,C18,C20,C21,C22,C23",8,100n,DNP,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,https://www.mouser.kr/ProductDetail/YAGEO/CC0805KRX7R9BB104?qs=vTakOoo5QyLx0lXWgVtRhQ%3D%3D,,,Unpolarized capacitor,3,Tape
C19,1,10n,DNP,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,https://www.mouser.kr/ProductDetail/YAGEO/CC0805MKX7R7BB106?qs=WS5Jv%252B%252Bx1qV0JXGhy8Ef5g%3D%3D,,,Unpolarized capacitor,4,Tape
J1,1,Conn_Coaxial,,ETROC_to_FPGA:BNCLRPC140,,,,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",5,
J2,1,Barrel_Jack,,Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal,https://www.mouser.kr/ProductDetail/Same-Sky/PJ-063AH?qs=WyjlAZoYn51bQfA53nMcVA%3D%3D,,,DC Barrel Jack,6,
J3,1,Conn_01x03_Socket,,Connector:FanPinHeader_1x03_P2.54mm_Vertical,,,,"Generic connector, single row, 01x03, script generated",7,
J4,1,Conn_01x03,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,,,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",8,
"J5,J6",2,TF06L-80S-0.5SH_800_,,ETROC_to_FPGA:TF06L80S05SH800,https://www.mouser.kr/ProductDetail/Hirose-Connector/TF06L-80S-0.5SH800?qs=W0yvOO0ixfGr8OqBVw%252Bw9w%3D%3D,TF06L-80S-0.5SH(800),798-TF06L-80S05SH800,FFC & FPC Connectors,9,
J7,1,ASP-134604-01,,ETROC_to_FPGA:ASP13460401,https://componentsearchengine.com/Datasheets/2/ASP-134604-01.pdf,ASP-134604-01,200-ASP-134604-01,"SAMTEC - ASP-134604-01 - Board-To-Board Connector, Vita 57 XMC, 1.27 mm, 160 Contacts, Header, ASP Series, Surface Mount",10,
JP1,1,Jumper_2_Open,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,,,"Jumper, 2-pole, open",11,
LED1,1,LTST-C190KRKT,,LEDC1608X80N,https://componentsearchengine.com/Datasheets/1/LTST-C190KRKT.pdf,LTST-C190KRKT,859-LTST-C190KRKT,"LED,SMD,0603,Red,54mcd,130deg Lite-On LTST-C190KRKT Red LED, 631 nm, 1608 (0603), Rectangle Lens SMD Package",12,
"R3,R18",2,100k,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,https://www.mouser.kr/ProductDetail/YAGEO/RC0805FR-07100KL?qs=8Y8p%252BasKcI7rEWn6FcVdAA%3D%3D,,,Resistor,13,
"R4,R5",2,240k,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,https://www.mouser.kr/ProductDetail/YAGEO/RC0805FR-07240KL?qs=fRxXYNj8ftEwbQYL8uxuAg%3D%3D,,,Resistor,14,Tape
"R6,R7,R8,R9,R14,R15,R16,R17,R26,R27,R53,R54,R66,R67,R75,R76",16,2.2k,DNP,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,https://www.mouser.kr/ProductDetail/YAGEO/RC0805FR-072K2L?qs=CSLd874fYV2eT6iKTza3nw%3D%3D,,,Resistor,15,Tape
R10,1,2k,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,https://www.mouser.kr/ProductDetail/YAGEO/RC0805FR-072KL?qs=QrWOOBGzeCYk%2Fx0gjMNmqg%3D%3D,,,Resistor,16,Tape
"R11,R35,R36",3,2.8k,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,https://www.mouser.kr/ProductDetail/YAGEO/RC0805FR-072K8L?qs=fRxXYNj8ftFpv%2FHTECUVlw%3D%3D,,,Resistor,17,Tape
